date,bcal,lcal,dcal,scal,ecal
0111,421,711,440,66,245
0112,408,353,66,866,215
0113,350,465,345,689,365
0114,491,355,602,130,301
0115,414,603,400,300,368
0116,345,395,704,300,354
0117,377,525,419,110,327
0118,342,298,693,419,366
0119,396,274,566,432,357
0120,397,645,518,135,374
0121,353,614,633,75,378
0122,400,262,1429,102,381
0123,400,331,962,0,0
0124,377,353,882,200,351
0125,392,290,635,0,0
0126,370,580,587,104,352
0127,331,651,544,130,352
0128,437,390,1049,240,213
0129,281,705,700,186,20
0130,225,546,829,40,351
0131,372,500,962,147,100
